name,latitude,longitude
Unnamed Island,20.2561498,92.8525709
ငပြီကျွန်း,20.2110089,92.9623121
Unnamed Island,20.1920317,93.2090002
Unnamed Island,20.0693038,93.3306585
Unnamed Island,20.0651651,93.246983
Unnamed Island,20.1389183,93.2040583
Unnamed Island,20.1630967,93.1402243
Unnamed Island,20.0586292,93.4683484
Unnamed Island,20.1432642,93.1408225
Unnamed Island,19.8176731,93.7953734
Unnamed Island,19.8189243,93.6848361
Unnamed Island,19.739755,93.5572365
Unnamed Island,19.7961385,93.5646168
Unnamed Island,19.6986134,93.5313669
Unnamed Island,19.8483669,93.6709135
Unnamed Island,19.8353999,93.7094981
Unnamed Island,19.680692,93.7568913
Unnamed Island,19.8578673,93.5918145
Unnamed Island,19.7244346,93.6012276
Unnamed Island,19.8230403,93.7146952
Unnamed Island,19.8409101,93.6170594
Unnamed Island,19.805378,93.662594
Unnamed Island,19.7608486,93.6852265
Unnamed Island,19.7706691,93.6273833
Unnamed Island,19.7610177,93.654027
Unnamed Island,19.8914031,93.6370518
Unnamed Island,19.6596515,93.5741977
Unnamed Island,19.7684942,93.7973482
Unnamed Island,19.7558789,93.5801831
Unnamed Island,19.853105,93.7557981
Unnamed Island,19.9793798,93.4825547
မဒေးကျွန်း,19.3563941,93.6639954
Unnamed Island,19.2898009,93.6401217
Unnamed Island,19.290775,93.8106291
Unnamed Island,19.4376026,93.8489847
Paungnetkyi,19.4435794,93.608408
Unnamed Island,19.4890377,93.5220757
Unnamed Island,19.4648765,93.7751756
Unnamed Island,19.4516342,93.6706889
Unnamed Island,19.3161839,93.639763
Unnamed Island,19.4195438,93.6989312
Tankharo Island,19.4912957,93.5548751
Unnamed Island,19.4806985,93.6434397
Unnamed Island,19.2849019,93.8524843
Kan Kyun,19.5620925,93.6186192
Kalama Kyun,19.2793932,93.7510968
Unnamed Island,19.219712,93.6595571
Ledaung Kyun,19.4715511,93.5358964
Magyi Kyun,18.7389933,93.9929972
Unnamed Island,18.7602986,94.2272982
Ye Kyun,18.635978,93.7858306
Unnamed Island,18.765807,94.1795384
Unnamed Island,18.7425424,94.221058
Unnamed Island,18.6906047,94.2288096
Sagu Kyun,18.8085532,93.9626138
Unnamed Island,18.7194899,94.1935761
Nantha Kyun,18.0633595,94.0893348
Kondul Island,7.218539,93.7139985
Bompoka Island,8.2432611,93.2353636
Tarasa Dwip Island,8.2740744,93.1441552
Chowra Island,8.4546221,93.0474628
Batti Malv Island,8.8283243,92.8577777
Nalla Thani,9.1078477,78.5792908
Car Nicobar Island,9.1872304,92.7747874
Agatti Island,10.8475448,72.188721
Bangaram Island,10.9405882,72.2876458
South Sentinel Island,10.9772152,92.2210247
South Cinque Island,11.2659305,92.6974335
North Cinque Island,11.3171362,92.7108599
Kiltān Island,11.482785,73.004225
Malaytapu Island,11.5294659,92.603639
Boat Island,11.5290636,92.5603751
Hobday Island,11.5458802,92.610928
Red Skin Island,11.5552816,92.5907859
Alexandra Island,11.575251,92.6096687
Tarmugli Island,11.580114,92.5496677
Shaheed Dweep,11.8314973,93.0419576
Kyd Island,11.9565124,92.751512
Petman Island,11.9871422,92.744467
Sir William Peel Island,12.0766194,92.9823576
Nicholson Island,12.1001062,92.9526709
Inglis Island,12.1389499,93.1159813
Wilson Island,12.1309041,92.9780996
John Lawrence Island,12.105998,93.0280236
Henry Lawrence Island,12.1473617,93.0657944
Outram Island,12.2326743,93.0841961
North Passage Island,12.2708625,92.9214392
Guitar Island,12.3466085,92.9130198
Sound Island,12.9654179,92.9795493
Stewart Island,13.012095,92.9299633
North Reef Island,13.0847932,92.7079757
