name,latitude,longitude
Unnamed River,16.6802262,94.6406769
Unnamed River,16.706008,94.6352135
Unnamed River,16.7249381,94.6637119
Phusre Khola,28.168328,83.9939856
Unnamed River,28.2407923,83.867095
Unnamed River,16.32881,94.4599123
Unnamed River,16.2833082,94.4568169
Unnamed River,16.25504,94.4972703
Unnamed River,16.3427701,94.4777253
Unnamed River,16.3324424,94.4895435
Bijayapur Nadi,28.1862289,84.0308537
Bu Yo Chaung,18.6436778,95.0496512
Unnamed River,16.0660319,94.7708339
Unnamed River,16.0445838,94.8012037
Unnamed River,15.9671079,94.7611186
Unnamed River,16.0399059,94.7642307
Unnamed River,16.0390457,94.7596327
Unnamed River,16.0534183,94.7513249
Unnamed River,16.0476665,94.8062649
Unnamed River,16.0598814,94.7463639
Unnamed River,16.0677771,94.8238179
Unnamed River,16.0683503,94.8024115
Unnamed River,16.0606964,94.7994864
Unnamed River,16.0812048,94.8008281
Unnamed River,33.9234113,72.2600405
دریائے سندھ,33.9328565,72.2621726
Kāveri,12.4132191,76.6963693
Kaveri,12.5723392,76.0437745
यमुना,28.782903,77.2227126
Yamuna,28.6067112,77.2753643
Yamuna,26.9900001,78.4853491
Unnamed River,16.3518038,94.4549624
Unnamed River,16.3412294,94.4346873
Unnamed River,16.1818185,94.2751584
Unnamed River,16.1716697,94.2349375
Панҷ/پنج,36.8470799,71.5598088
Bain Nala,32.2327731,75.1091236
喀拉喀什河,36.4383107,78.0168022
Bhote Koshi,27.8094943,85.8838599
Kunhar River,34.9155338,73.7487381
Kunhar River,34.4720571,73.3703039
دریائے کنہار,34.3218196,73.4360443
Kishanganga River,34.5295091,75.2327978
雅鲁藏布江 ཡར་ཀླུངས་གཙང་པོ།,29.2849575,90.615396
雅鲁藏布江 ཡར་ཀླུངས་གཙང་པོ།,29.2777679,90.4521036
雅鲁藏布江 ཡར་ཀླུངས་གཙང་པོ།,29.3178406,90.708546
雅鲁藏布江 ཡར་ཀླུངས་གཙང་པོ།,29.3459717,90.7323832
ཉང་ཆུ 年楚河,29.2024252,89.0877465
雅鲁藏布江 ཡར་ཀླུངས་གཙང་པོ།,29.34052,88.7048122
雅鲁藏布江 ཡར་ཀླུངས་གཙང་པོ།,29.3519369,88.7688064
雅鲁藏布江 ཡར་ཀླུངས་གཙང་པོ།,29.3252831,88.8506259
雅鲁藏布江 ཡར་ཀླུངས་གཙང་པོ།,29.3512774,88.9665713
雅鲁藏布江 ཡར་ཀླུངས་གཙང་པོ།,29.336715,89.0575684
دریائے چناب,32.5340009,74.205261
دریائے چناب,31.0140072,72.0734739
درياۓ پنجند,29.2411455,70.8661508
دریائے چناب,31.8029217,73.0023318
دریائے راوی,30.79444,72.9915112
دریائے راوی,30.5929756,72.2722882
دریائے سندھ,28.7051278,70.0434851
Bhima,18.6661208,74.0122382
Indrayani,18.7654798,73.6437698
Kosasthalaiyar River,13.2333,80.0504989
Panchganga,16.7147101,74.2032817
Krishna River,17.1943432,74.2682702
Krishna,16.7056488,74.7222769
Unnamed River,13.2878582,80.3231697
Unnamed River,13.2074225,80.2926691
Unnamed River,13.234369,80.2610821
Krishna,16.2712586,75.9835478
Unnamed River,29.0342536,92.5640619
Northwestern Canal,27.9086936,68.5682622
Rice Canal,27.4706226,68.3531708
Unnamed River,27.8011341,68.5806788
Unnamed River,29.5351014,71.981256
Kunar کونړ,35.1241903,71.4412583
Kunar کونړ,34.9538228,71.2592864
Kunar دریائے چترال,36.8345087,73.3300171
Kunar دریائے چترال,36.3284726,72.5555281
Bhavani,11.2676325,76.8072414
Geddhehaada Halla River,11.3553051,76.8723422
Narayani,27.7071311,84.3606255
East Rapti River,27.5621041,84.3724307
Pykara,11.4124213,76.568419
Arani,13.3551775,79.8512598
دریای پغمان,34.5040992,69.1326662
গড়াই-মধুমতি নদী,23.7761923,89.3024653
雅鲁藏布江 ཡར་ཀླུངས་གཙང་པོ།,29.3241928,88.9174587
朋曲,28.5057855,87.4980766
Unnamed River,28.4761015,87.8175342
雅鲁藏布江 ཡར་ཀླུངས་གཙང་པོ།,29.3241764,87.8592549
雅鲁藏布江 ཡར་ཀླུངས་གཙང་པོ།,29.3453802,88.5328451
མདོག་གཞུང་བཙང་པོ (多雄藏布),29.4118043,87.8403943
雅鲁藏布江 ཡར་ཀླུངས་གཙང་པོ།,29.3512561,88.2653334
བུམ་ཆུ་ (朋曲),28.5957667,86.9503474
朋曲,28.6050206,87.1106419
བུམ་ཆུ་ (朋曲),28.61421,86.736661
那曲,31.4183576,91.9613292
Unnamed River,31.6869521,92.1191659
བུམ་ཆུ་ (朋曲),28.6118789,86.5952482
若曲,31.1686921,96.6772557
雅鲁藏布江 ཡར་ཀླུངས་གཙང་པོ།,29.1624298,93.6025262
雅鲁藏布江 ཡར་ཀླུངས་གཙང་པོ།,29.6782326,95.3449401
雅鲁藏布江 ཡར་ཀླུངས་གཙང་པོ།,29.8321475,95.1811042
雅鲁藏布江 ཡར་ཀླུངས་གཙང་པོ།,29.6574022,95.0318798
雅鲁藏布江 ཡར་ཀླུངས་གཙང་པོ།,29.3753259,94.5365277
ཉང་ཆུ， (尼洋河),29.4667003,94.4619378
央朗藏布,29.5170307,95.3609766
雅鲁藏布江 ཡར་ཀླུངས་གཙང་པོ།,29.4239018,95.3591253
嘎弄曲,29.531823,95.4587
Unnamed River,29.5019409,95.9853423
雅鲁藏布江 ཡར་ཀླུངས་གཙང་པོ།,29.2466219,95.1391311
Siang (Brahmaputra),28.958728,94.8320715
Ringong,29.0870149,94.7551414
Brahmaputra,28.6467349,94.9826056
ཡིད་འོང་གཙང་པོ 易贡藏布,30.5694565,93.8494118
鲁朗河,29.78034,94.7650662
则普曲,29.9700668,95.6281489
ཕར་ལུང་གཙང་པ 帕隆藏布,30.0671289,95.1662803
ཕར་ལུང་གཙང་པ 帕隆藏布,29.9743096,95.3509461
ཕར་ལུང་གཙང་པ 帕隆藏布,29.8963465,95.5276996
Zanskar,34.1548086,77.3174322
Indus,34.1861778,77.2988935
Zanskar,33.6008446,76.9724744
Zanskar,33.8090847,77.018127
Tsarap Lingti Chu,33.3744813,77.0120697
Brahmaputra,28.3265945,95.0260252
Brahmaputra,28.128445,95.1988525
Yamne,28.3624055,95.2123476
Yamne,28.2468612,95.201948
Simaaang,28.3756264,94.9293819
Siang (Brahmaputra),29.085953,94.9628806
Sike,28.2349473,94.9477585
دریائے سندھ,35.7829365,74.7439867
دریائے سندھ,35.4660799,74.4766823
Gilgit River دریائے گلگت,35.8071532,74.5529541
دریائے سندھ,35.4746481,73.8993645
دریائے سندھ,35.3934096,73.3576226
دریائے سندھ,35.1796933,73.1181815
دریائے سندھ,34.5567555,72.8476389
دریائے گلگت,36.0111414,74.1683034
Hunza River,36.0851599,74.3308885
Hunza River,36.2467869,74.4453338
دریائے سندھ,35.683484,74.6311837
Kunar دریائے چترال,35.9653026,71.9123814
Chitral River / Kunar River,35.352568,71.6095373
Kunar دریائے چترال,36.1267656,72.0894363
Kunar River / Chitral River,36.2513341,72.284725
Unnamed River,36.772387,72.6462875
Lutkhow River,36.268024,72.210702
Rich Gol,36.3250139,72.3099553
雅鲁藏布江 ཡར་ཀླུངས་གཙང་པོ།,29.1640949,92.5889061
雅鲁藏布江 ཡར་ཀླུངས་གཙང་པོ།,29.0661195,92.9185014
雅鲁藏布江 ཡར་ཀླུངས་གཙང་པོ།,29.0856228,93.1160931
雅鲁藏布江 ཡར་ཀླུངས་གཙང་པོ།,29.0838689,93.3407157
雅鲁藏布江 ཡར་ཀླུངས་གཙང་པོ།,29.2419891,92.3471936
雅砻河,29.2202335,91.7653905
雅鲁藏布江 ཡར་ཀླུངས་གཙང་པོ།,29.3025823,91.1084565
Unnamed River,29.2209071,92.0187787
Barwa Nadi,25.6978588,82.3647648
Unnamed River,12.0515723,92.7079757
Unnamed River,12.0178512,92.9766427
Unnamed River,12.0289259,92.9719988
Unnamed River,11.95869,92.9963676
Unnamed River,11.9873986,92.956095
Unnamed River,11.9565633,93.0054238
Unnamed River,11.9424801,93.0093851
Unnamed River,28.370618,84.2965415
Ngadi,28.3963496,84.5098881
Modi Khola,28.4411602,83.8464428
Marsyangdi,28.4593281,84.3833475
Marsyangdi,28.1157967,84.418785
Kali Gandaki,28.5942909,83.6261798
Kali Gandaki,28.4297498,83.6089914
Kali Gandaki,28.8048764,83.7474525
Jhong Khola,28.8293995,83.8565889
कालीगण्डकी नदी,28.2887835,83.6199088
Modi Khola,28.2555223,83.722165
कालीगण्डकी नदी,27.9729237,83.5288498
कालीगण्डकी नदी,27.9466966,83.5059501
Kali Gandaki,27.8609694,84.0231642
Seti Khola,27.8819358,84.3707464
Trisuli,27.7995519,84.4905883
Badi Gad River,28.207192,83.2039635
Myagdi Khola,28.532795,83.3503113
Unnamed River,28.1627661,83.8764391
Unnamed River,28.1483386,83.8231305
Modi Khola,28.4082945,83.8276604
Nar Khola,28.6628927,84.2483544
Seti Khola,28.131596,84.0778566
Sharda,29.3505253,80.2939992
Bheri River,28.6953239,81.3771773
कर्णाली,28.8031359,81.2133086
कर्णाली,28.5082847,81.2394192
Indus,33.9915439,77.57812
Indus,33.4383675,78.2125716
Indus,33.5549728,78.1144945
कालीगण्डकी नदी,27.8855388,83.8608442
कालीगण्डकी नदी,27.9205378,83.6741104
Unnamed River,33.1677777,78.6948922
Hanle,32.8478057,78.910382
Unnamed River,33.1528347,78.8007828
Unnamed River,33.1453248,78.7727783
Unnamed River,33.1372805,78.7411498
Indus,33.0204382,79.1450854
Unnamed River,33.1369226,78.7479507
Unnamed River,33.1355981,78.7502415
Indus,33.1912425,78.8652688
Trishuli Ganga River,27.9535082,85.1600821
Hanumante River,27.6709781,85.3625371
Indus,34.2016656,77.2232412
Shingo,34.670226,76.1679697
Zanskar,34.0478718,77.2042121
Unnamed River,28.81277,83.8736103
Dhor,34.0522446,72.9135841
Unnamed River,28.9032836,88.0251104
ཉང་ཆུ 年楚河,28.902996,89.5989862
Unnamed River,30.1753996,90.5210178
堆龙曲,30.1805127,90.4259498
Unnamed River,30.0933465,90.5443046
Unnamed River,30.053045,90.5107439
Indus دریائے سندھ,35.4858742,75.4101365
Shyok River دریائے شیوک,35.205594,76.0580305
Thalla River,35.3200133,76.1440054
Shigarthang Lungma,35.4214762,75.4503426
دریائے سوات,34.7103232,71.7803896
دریائے سوات,34.2386936,71.6262144
دریائے سوات,34.4312342,71.5223504
دریائے چترال,36.4885729,72.7563144
Kunar دریائے چترال,36.7112194,73.0042896
Mastuj River,36.1878842,72.4873224
دریائے سندھ,31.1932016,70.9082508
Sind,34.2918849,75.3131305
怒江,30.971517,95.541015
怒江,30.6912463,96.3781893
怒江,30.5066155,96.4831033
怒江,30.351686,96.7059507
怒江,30.2277633,96.8747974
怒江,30.8747524,96.1770619
怒江,30.9441495,95.6807678
Sharda,28.8749643,80.1162553
Mahakali River,29.0911413,80.1849344
Alaknanda,30.3727547,79.34817
Alaknanda,30.2976935,79.2656719
Alaknanda,30.2619382,78.9054449
Bhagirathi River,30.3774051,78.4630493
Bhagirathi River,30.9281303,79.0784029
Ganga,30.0622007,78.3977108
Ganga,29.8089213,78.1730997
Alaknanda,30.287137,79.0974398
Alaknanda,30.1909363,78.7099707
Bhagirathi River,30.2252282,78.5421021
Bindal Rao,30.3061812,78.0317433
Chandra,32.4935028,77.0725396
Chandrabhaga,32.6361339,76.820469
Baspa,31.2265557,78.6960821
Indus River دریائے سندھ,34.8571452,76.2073249
Unnamed River,30.1268716,85.7225133
Chap Parpik Dur,36.9423162,75.1725725
Unnamed River,33.9261638,72.7926345
Haro River,33.9949646,73.3022893
Unnamed River,33.8735334,73.2428695
Dhor Havellian,34.1109363,73.2751919
دریائے ہرو,33.8583588,72.637794
دریائے راوی,32.0925946,75.1065658
دریائے چناب,31.5572819,72.4607444
